id,etape,niveau,matiere,annee,is_demo
1,2,3,3,1,false
2,3,3,3,1,false
3,4,3,3,1,false
4,2,4,3,1,false
5,3,4,3,1,false
6,4,4,3,1,false
7,2,5,3,1,false
8,3,5,3,1,false
9,4,5,3,1,false
10,2,6,3,1,false
11,3,6,3,1,false
12,4,6,3,1,false
13,2,7,3,1,false
14,3,7,3,1,false
15,4,7,3,1,false
16,2,3,2,1,false
17,3,3,2,1,false
18,4,3,2,1,false
19,2,4,2,1,false
20,3,4,2,1,false
21,4,4,2,1,false
22,2,5,2,1,false
23,3,5,2,1,false
24,4,5,2,1,false
25,2,6,2,1,false
26,3,6,2,1,false
27,4,6,2,1,false
28,2,7,2,1,false
29,3,7,2,1,false
30,4,7,2,1,false
31,2,2,1,1,false
32,3,2,1,1,false
33,2,2,1,1,false
34,2,2,1,1,true
35,3,3,3,1,true
36,4,3,2,1,true
