id,groupagedata,temps,observation,scorerule,max_score,itempos,link
2,1,1,a definir,8,15,1,
3,2,1,a definir,8,14,1,
4,3,1,a definir,8,11,1,
5,4,1,a definir,8,10,1,
6,5,1,a definir,8,15,1,
7,6,1,a definir,8,15,1,
8,7,1,a definir,8,9,1,
9,8,1,a definir,8,9,1,
10,9,1,a definir,8,9,1,
11,10,1,a definir,8,9,1,
12,11,1,a definir,8,9,1,
13,12,1,a definir,8,9,1,
14,13,1,a definir,8,9,1,
15,14,1,a definir,8,9,1,
16,15,1,a definir,8,9,1,
17,16,1,a definir,8,9,1,
18,17,1,a definir,8,9,1,
19,18,1,a definir,8,9,1,
20,19,1,a definir,8,9,1,
21,20,1,a definir,8,9,1,
22,21,1,a definir,8,9,1,
23,22,1,a definir,8,9,1,
24,23,1,a definir,8,9,1,
25,24,1,a definir,8,9,1,
26,25,1,a definir,8,9,1,
27,26,1,a definir,8,9,1,
28,27,1,a definir,8,9,1,
29,28,1,a definir,8,9,1,
30,29,1,a definir,8,9,1,
31,30,1,a definir,8,9,1,
32,31,1,a definir,8,9,1,
33,32,1,a definir,8,9,1,
34,33,1,a definir,8,9,1,
35,34,1,a definir,8,9,1,
36,35,1,a definir,8,9,1,
37,36,1,a definir,8,9,1,
38,37,1,a definir,8,9,1,
39,38,1,a definir,8,9,1,
40,39,1,a definir,8,9,1,
41,40,1,a definir,8,9,1,
42,41,1,a definir,8,9,1,
43,42,1,a definir,8,9,1,
44,43,1,a definir,8,9,1,
45,44,1,a definir,8,9,1,
46,45,1,a definir,8,9,1,
47,46,1,a definir,8,9,1,
48,47,1,a definir,8,9,1,
49,48,1,a definir,8,9,1,
50,49,1,a definir,8,9,1,
51,50,1,a definir,8,9,1,
52,51,1,a definir,8,9,1,
53,52,1,a definir,8,9,1,
54,53,1,a definir,8,9,1,
55,54,1,a definir,8,9,1,
56,55,1,a definir,8,9,1,
57,56,1,a definir,8,9,1,
58,57,1,a definir,8,9,1,
59,58,1,a definir,8,9,1,
60,59,1,a definir,8,9,1,
61,60,1,,2,1,1,
62,60,1,,2,1,2, 
63,60,1,,2,1,3,
64,60,1,,2,1,4,
65,60,1,,2,1,5,
66,60,1,,2,1,6,
67,60,1,,2,1,7,
68,60,1,,2,1,8,
69,60,1,,2,1,9,
70,60,1,,2,1,10,
71,60,1,,2,1,11,
72,60,2,,2,1,12,
73,60,2,,2,1,13,
74,60,2,,2,1,14,
75,60,2,,2,1,15,
76,60,2,,2,1,16,
77,60,2,,2,1,17,
78,60,2,,2,1,18,
79,60,2,,2,1,19,
80,60,2,,2,1,20,
81,60,2,,2,1,21,
82,60,2,,2,1,22,
83,61,1,,4,1,1,
84,61,1,,4,1,2,
85,61,1,POINT A DEFINIR,7,0,3,
86,61,2,POINT A DEFINIR,7,0,4,
87,61,2,,4,1,5,
88,61,2,,4,1,6,
89,61,2,,7,1,7,
90,61,2,POINT A DEFINIR,7,0,8,
91,62,1,,3,2,1,
92,62,1,,3,2,2,
93,62,1,,3,2,3,
94,62,1,,3,2,4,
95,62,1,,3,2,5,
96,62,1,,3,2,6,
97,62,1,,3,2,7,
98,62,1,,3,2,8,
99,62,2,,3,2,9,
100,62,2,,3,2,10,
101,62,2,,3,2,11,
102,62,2,,3,2,12,
103,62,2,,3,2,13,
104,62,2,,3,2,14,
105,62,2,,3,2,15,
106,62,2,,3,2,16,
107,63,1,,4,1,1,
108,63,1,,4,1,2,
109,63,1,,4,1,3,
110,63,1,,4,1,4,
111,63,1,,4,1,5,
112,63,1,Non,7,0,6,
113,64,1,,3,2,1,
114,64,2,,3,2,2,
115,64,2,Observations (vocabulaire),4,1,3,
116,64,2,,3,2,4,
117,64,2,,3,2,5,
118,64,2,,4,1,6,
119,64,2,POINT A DEFINIR,7,0,7,
120,65,1,,6,2,1,
121,65,1,,6,2,2,
122,65,1,,3,2,3,
123,65,1,,5,1,4,
124,65,2,,3,2,5,
125,65,2,,3,2,6,
126,65,3,,3,2,7,
127,65,3,,3,2,8,
128,66,1,test en mai?,3,2,1,
129,66,1,test en mai?,3,2,2,
130,66,1,test en mai?,3,2,3,70
131,67,1,,3,2,1,
132,67,1,,3,2,2,
133,67,1,,3,2,3,
134,67,1,,3,2,4,
135,67,1,,3,2,5,
136,67,2,,3,2,6,
137,67,2,,3,2,7,
138,67,2,,3,2,8,
139,67,2,,3,2,9,
140,67,2,,3,2,10,
141,67,2,,3,2,11,
142,67,2,,3,2,12,
143,67,2,,3,2,13,
144,67,2,,3,2,14,
145,67,2,,3,2,15,
146,67,2,,4,1,16,
147,68,1,,8,1,1,
148,68,2,,8,1,1,
149,69,1,,8,1,1,
150,69,2,,8,1,1,
151,70,4,,8,22,1,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
152,71,5,,8,5,2,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
153,72,6,,8,32,3,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
154,73,7,,8,6,4,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
155,74,8,,8,10,5,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
156,75,9,,8,15,6,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
157,76,10,,8,6,7,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
158,77,11,,8,31,8,https://ec72.fr/wp-content/uploads/sites/42/2021/09/Evaldiag-GS-livret-ma%C3%AEtre-DEC72-Juin21.docx.pdf
161,78,4,,8,22,1,
162,79,5,,8,5,2,
163,80,6,,8,32,3,
164,81,7,,8,6,4,
165,82,8,,8,10,5,
166,83,9,,8,15,6,
167,84,10,,8,6,7,
168,85,11,,8,31,8,
